,state_county_code,census_region,metro,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,ELI_2,median,I50_2,I80_2,ave_util_allowed,hh_income,months_from_movein,months_waiting,pct_utility_allow,PrincipalComponent1,PrincipalComponent2,PrincipalComponent3,Class
state_county_code,1.0,-0.1006710052825439,-0.04444491050360069,-0.14333226808550964,-0.15279262557811044,-0.21340791881028812,-0.17658950298258508,-0.19473498716528978,0.04470149755505082,-0.0337405520501245,0.020258659864509546,-0.025310186063405092,0.05348598155009575,0.06596288740709232,-0.12488899902657344,-0.001590797614486348,-0.03086326363192289,-0.15383328393939433,-0.18920035256827217,0.32612870425844154,-0.014372435362170654
census_region,-0.1006710052825439,1.0,-0.08012651627946099,0.0008947272375382488,-0.07514557081443188,-0.16475525632937107,-0.14103366959713096,-0.20373534543300043,-0.319940536854225,-0.2232303255005215,-0.32860555031633315,-0.3456171648598058,-0.08101484500270018,-0.02403010557840131,-0.10063397941329594,-0.075506669798308,0.25901036999146604,-0.30782327963191414,0.06614312468616122,-0.4216364126681769,-0.14456305119214247
metro,-0.04444491050360069,-0.08012651627946099,1.0,0.4516472622824608,0.44713162774568455,0.3829407160307828,0.33066119033739316,0.29140272373234677,0.3929889644131678,0.4530388453257941,0.3224625655213525,0.3286539931159842,0.0284393956486756,0.12090941815572592,0.20258345191478097,0.10481726993393008,0.06720939529912572,0.5508720337871506,-0.07482211072442617,0.0039248429298536554,0.2426875509446306
fmr_0,-0.14333226808550964,0.0008947272375382488,0.4516472622824608,1.0,0.7684331487964777,0.7215783637707242,0.6485431582589533,0.5414452888421124,0.4573263997033278,0.46325560760485857,0.43572049659460343,0.42754553357682384,-0.02500464280837201,0.038727795032471216,0.19304324964432312,0.10133824807507928,0.04521958078003658,0.7194458487519804,0.14831122290117296,-0.22843896925408572,0.0518658248787086
fmr_1,-0.15279262557811044,-0.07514557081443188,0.44713162774568455,0.7684331487964777,1.0,0.8477194542892846,0.8026413521971687,0.6547904237341549,0.5220321950067371,0.4686366084922776,0.49196724337760545,0.49811568111714627,-0.038632722323005776,0.1465156659846046,0.16415417219680814,0.11442056571223821,-0.007845430525255985,0.7971858170696972,0.16021497285565997,-0.2056575312057561,0.10343182947554272
fmr_2,-0.21340791881028812,-0.16475525632937107,0.3829407160307828,0.7215783637707242,0.8477194542892846,1.0,0.8596317100644006,0.72310512886492,0.4701313266244053,0.442317288388178,0.4810385153630975,0.48993024775559696,-0.05341754925724272,0.12415282944574867,0.2212195443710868,0.08283336945493558,-0.053811737565795756,0.7936312911392258,0.18897255419453335,-0.23733464668021337,0.09332970510560845
fmr_3,-0.17658950298258508,-0.14103366959713096,0.33066119033739316,0.6485431582589533,0.8026413521971687,0.8596317100644006,1.0,0.7456982935870046,0.43494727320840526,0.4234493079400421,0.44079377670692355,0.4478692513372212,-0.051998909733186036,0.13143023986084465,0.19351412260199374,0.08838698228684032,-0.06546714284223797,0.7578988503357527,0.17809510640132825,-0.2628414450232895,0.07358871659824474
fmr_4,-0.19473498716528978,-0.20373534543300043,0.29140272373234677,0.5414452888421124,0.6547904237341549,0.72310512886492,0.7456982935870046,1.0,0.42556832645437676,0.40929713494971376,0.44531074699416723,0.46694597277639766,-0.0252104994966273,0.12420231367311452,0.14699496443552937,0.008424871588859016,-0.08503137844310443,0.7149015746218531,0.19059656086074758,-0.2145808477058426,0.09519382447139535
ELI_2,0.04470149755505082,-0.319940536854225,0.3929889644131678,0.4573263997033278,0.5220321950067371,0.4701313266244053,0.43494727320840526,0.42556832645437676,1.0,0.7466618698071237,0.8657114087357491,0.8543269347006066,0.14820346665894094,0.1396534510676339,0.12059093271790121,0.04513860037607855,-0.1936760010495376,0.797518542243917,0.062353323822711075,0.5180490143855999,0.2737717007563958
median,-0.0337405520501245,-0.2232303255005215,0.4530388453257941,0.46325560760485857,0.4686366084922776,0.442317288388178,0.4234493079400421,0.40929713494971376,0.7466618698071237,1.0,0.7691531655419059,0.7481818621224733,0.026920135087937877,0.06305305783627728,0.12220704093794435,0.041152425345837955,-0.12690034722082766,0.7759785816230438,0.14340796388073876,0.45256037301509283,0.22023023706934264
