fips2010,fmr0_17,fmr1_17,fmr2_17,fmr3_17,fmr4_17,fmr_0_22,fmr_1_22,fmr_2_22,fmr_3_22,fmr_4_22,metro_code,metro
109999999,495,538,621,860,1046,530,619,705,922,1040,NCNTY01099N01099,0
110199999,587,682,822,1054,1425,643,764,914,1156,1494,METRO33860M33860,1
110399999,427,515,640,852,894,554,592,720,946,1009,METRO19460M19460,1
110599999,507,510,621,884,887,540,630,718,888,1062,NCNTY01105N01105,0
110799999,450,467,621,853,856,535,538,705,952,956,METRO46220N01107,1
110999999,540,549,654,898,901,634,666,843,1051,1247,NCNTY01109N01109,0
111199999,502,505,662,948,965,530,619,705,953,956,NCNTY01111N01111,0
111399999,605,648,777,1082,1369,654,724,827,1122,1415,METRO17980M17980,1
111599999,665,751,866,1163,1298,765,820,943,1220,1316,METRO13820M13820,1
111799999,665,751,866,1163,1298,765,820,943,1220,1316,METRO13820M13820,1
111999999,550,554,736,921,1014,637,652,848,1048,1150,NCNTY01119N01119,0
112199999,504,508,675,932,968,553,557,733,966,1081,NCNTY01121N01121,0
112399999,513,529,621,899,995,527,545,717,981,1181,NCNTY01123N01123,0
112599999,566,643,782,1004,1078,758,762,927,1162,1257,METRO46220M46220,1
112799999,500,519,641,847,979,530,536,705,900,956,NCNTY01127N01127,0
112999999,464,467,621,826,887,543,566,705,901,956,METRO33660M01129,1
113199999,491,494,621,884,887,573,587,763,943,1035,NCNTY01131N01131,0
113399999,464,467,621,887,1094,530,536,705,980,984,NCNTY01133N01133,0
201399999,774,934,1077,1347,1485,810,885,1165,1440,1747,NCNTY02013N02013,0
201699999,1073,1272,1691,2116,2625,1097,1255,1651,2041,2476,NCNTY02016N02016,0
202099999,888,1018,1293,1882,2278,877,948,1248,1773,2136,METRO11260M11260,1
205099999,1052,1269,1464,1832,2018,1242,1362,1698,2099,2547,NCNTY02050N02050,0
206099999,894,936,1244,1558,1715,685,749,985,1399,1494,NCNTY02060N02060,0
206899999,1134,1237,1579,2044,2451,1016,1110,1461,1806,2191,NCNTY02068N02068,0
207099999,856,1033,1192,1611,1850,858,943,1234,1532,1673,NCNTY02070N02070,0
209099999,804,953,1267,1844,2232,877,1003,1320,1875,2259,METRO21820M21820,1
210099999,723,873,1007,1303,1563,732,800,1053,1302,1579,NCNTY02100N02100,0
210599999,546,674,861,1182,1187,786,859,1130,1397,1532,NCNTY02105N02105,0
211099999,930,1103,1466,2109,2348,958,1154,1442,2048,2432,NCNTY02110N02110,0
212299999,862,867,1113,1453,1772,815,820,1072,1507,1662,NCNTY02122N02122,0
213099999,836,1006,1317,1722,2280,886,1014,1334,1777,2268,NCNTY02130N02130,0
215099999,902,950,1096,1595,1931,1042,1192,1568,1938,2402,NCNTY02150N02150,0
216499999,654,789,910,1138,1413,574,680,825,1161,1287,NCNTY02164N02164,0
217099999,660,783,1041,1515,1834,744,789,1035,1470,1772,METRO11260N02170,1
218099999,1004,1239,1582,1979,2181,1190,1197,1501,2028,2035,NCNTY02180N02180,0
218599999,948,1067,1231,1648,2169,1074,1224,1611,1991,2185,NCNTY02185N02185,0
218899999,1043,1094,1262,1579,1740,1015,1161,1528,2064,2072,NCNTY02188N02188,0
219599999,673,798,1060,1326,1461,831,919,1195,1477,1995,NCNTY02195N02195,0
219899999,822,828,1062,1329,1464,744,796,1016,1256,1378,NCNTY02198N02198,0
222099999,895,989,1278,1774,1984,907,1040,1229,1715,2009,NCNTY02220N02220,0
223099999,1016,1093,1414,2058,2195,919,1060,1313,1623,1969,NCNTY02230N02230,0
224099999,878,1060,1223,1780,2155,927,933,1228,1744,1955,NCNTY02240N02240,0
226199999,851,857,1139,1425,1768,764,987,1150,1422,1968,NCNTY02261N02261,0
227599999,725,760,1010,1358,1568,668,717,944,1321,1416,NCNTY02275N02275,0
228299999,849,926,1182,1479,1835,833,910,1198,1481,1797,NCNTY02282N02282,0
229099999,595,599,789,987,1390,594,750,855,1215,1282,NCNTY02290N02290,0
400199999,486,558,681,973,1154,567,653,854,1121,1204,NCNTY04001N04001,0
400399999,594,598,747,1060,1316,686,690,907,1288,1552,METRO43420M43420,1
400599999,704,835,1037,1309,1551,1138,1166,1474,1868,2245,METRO22380M22380,1
400799999,599,603,801,1064,1104,780,785,1033,1416,1421,NCNTY04007N04007,0
400999999,569,615,737,1073,1282,821,824,957,1359,1517,NCNTY04009N04009,0
401199999,515,518,681,852,939,573,752,857,1069,1201,NCNTY04011N04011,0
401299999,537,541,719,900,1267,710,808,1063,1446,1523,NCNTY04012N04012,0
401399999,624,757,944,1374,1594,1005,1091,1311,1825,2078,METRO38060M38060,1
401599999,529,602,762,1092,1178,667,766,969,1364,1539,METRO29420M29420,1
401799999,592,596,748,1013,1171,633,715,941,1237,1307,NCNTY04017N04017,0
401999999,550,652,867,1262,1493,665,761,1001,1422,1685,METRO46060M46060,1
402199999,624,757,944,1374,1594,1005,1091,1311,1825,2078,METRO38060M38060,1
402399999,509,512,681,929,939,574,643,846,1143,1147,NCNTY04023N04023,0
402599999,683,688,901,1312,1370,733,894,1103,1537,1724,METRO39140M39140,1
402799999,639,655,870,1266,1523,725,736,968,1375,1657,METRO49740M49740,1
500199999,476,490,611,818,918,514,527,694,858,941,NCNTY05001N05001,0
500399999,476,507,611,795,842,481,570,649,819,1052,NCNTY05003N05003,0
500599999,493,496,659,901,955,525,547,709,876,978,NCNTY05005N05005,0
500799999,546,578,748,1079,1318,658,695,865,1229,1481,METRO22220M22220,1
500999999,466,469,623,892,1057,481,569,649,922,951,NCNTY05009N05009,0
501199999,440,518,688,861,948,481,511,649,874,1111,NCNTY05011N05011,0
501399999,484,539,622,791,907,549,563,741,916,1060,NCNTY05013N05013,0
501599999,530,550,642,852,929,443,507,667,825,905,NCNTY05015N05015,0
501799999,476,486,611,889,891,522,525,649,907,1066,NCNTY05017N05017,0
501999999,457,460,611,845,947,484,570,649,891,1024,NCNTY05019N05019,0
502199999,457,460,611,867,870,490,493,649,802,1061,NCNTY05021N05021,0
502399999,493,497,660,961,995,523,537,706,873,957,NCNTY05023N05023,0
502599999,429,509,659,824,1002,563,578,760,950,1097,METRO38220M38220,1
502799999,476,529,611,889,947,490,493,649,876,914,NCNTY05027N05027,0
502999999,514,518,688,861,1072,481,493,649,898,1038,NCNTY05029N05029,0
503199999,466,607,735,1009,1013,553,648,832,1078,1390,METRO27860MM3700,1
503399999,493,511,679,901,1100,559,562,740,1031,1165,METRO22900M22900,1
