,state_county_code,census_region,metro,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,ELI_2,median,I50_2,I80_2,ave_util_allowed,hh_income,months_from_movein,months_waiting,pct_utility_allow,PrincipalComponent1,PrincipalComponent2,PrincipalComponent3,Class,state_name,county_name
2528,33015,1,1,46,155,225,270,466,6550,25700,10900,17150,-11,1669,-3,2,-2,2.4874856502397753,0.22409148106102614,1.5571500522646344,3,Missouri,Gentry County
2529,33015,1,1,46,155,225,270,466,6550,25700,10900,17150,-11,1669,-3,2,-2,2.4874856502397753,0.22409148106102614,1.5571500522646344,3,Missouri,Greene County
2530,33015,1,1,46,155,225,270,466,6550,25700,10900,17150,-11,1669,-3,2,-2,2.4874856502397753,0.22409148106102614,1.5571500522646344,3,Missouri,Grundy County
2531,33015,1,1,150,195,260,302,323,6600,26400,11000,17150,-11,1669,-3,2,-2,2.8944596145830883,0.25411301148111803,1.4011118509084486,3,Missouri,Harrison County
2532,33015,1,1,274,233,306,660,785,4950,20800,8350,17150,-11,1669,-3,2,-2,3.9662956356278993,0.3916628109463772,-1.1100660698820402,1,Missouri,Henry County
2533,33015,1,1,46,155,225,270,466,6550,25700,10900,17150,-11,1669,-3,2,-2,2.4874856502397753,0.22409148106102614,1.5571500522646344,3,Missouri,Hickory County
2534,33015,1,1,46,155,225,270,466,6550,25700,10900,17150,-11,1669,-3,2,-2,2.4874856502397753,0.22409148106102614,1.5571500522646344,3,Missouri,Holt County
2535,33015,1,1,46,155,225,270,466,6550,25700,10900,17150,-11,1669,-3,2,-2,2.4874856502397753,0.22409148106102614,1.5571500522646344,3,Missouri,Howard County
2536,33015,1,1,46,155,225,270,466,6550,25700,10900,17150,-11,1669,-3,2,-2,2.4874856502397753,0.22409148106102614,1.5571500522646344,3,Missouri,Howell County
2537,33015,1,1,150,195,260,302,323,6600,26400,11000,17150,-11,1669,-3,2,-2,2.8944596145830883,0.25411301148111803,1.4011118509084486,3,Missouri,Iron County
2538,33015,1,1,46,155,225,270,466,6550,25700,10900,17150,-11,1669,-3,2,-2,2.4874856502397753,0.22409148106102614,1.5571500522646344,3,Missouri,Jackson County
2539,33015,1,1,274,233,306,660,785,4950,20800,8350,17150,-11,1669,-3,2,-2,3.9662956356278993,0.3916628109463772,-1.1100660698820402,1,Missouri,Jasper County
2540,33015,1,1,274,233,306,660,785,4950,20800,8350,17150,-11,1669,-3,2,-2,3.9662956356278993,0.3916628109463772,-1.1100660698820402,1,Missouri,Jefferson County
2541,33015,1,1,150,195,260,302,323,6600,26400,11000,17150,-11,1669,-3,2,-2,2.8944596145830883,0.25411301148111803,1.4011118509084486,3,Missouri,Johnson County
2542,33015,1,1,46,155,225,270,466,6550,25700,10900,17150,-11,1669,-3,2,-2,2.4874856502397753,0.22409148106102614,1.5571500522646344,3,Missouri,Knox County
2543,33015,1,1,150,195,260,302,323,6600,26400,11000,17150,-11,1669,-3,2,-2,2.8944596145830883,0.25411301148111803,1.4011118509084486,3,Missouri,Laclede County
2544,33015,1,1,46,155,225,270,466,6550,25700,10900,17150,-11,1669,-3,2,-2,2.4874856502397753,0.22409148106102614,1.5571500522646344,3,Missouri,Lafayette County
2545,33015,1,1,150,195,260,302,323,6600,26400,11000,17150,-11,1669,-3,2,-2,2.8944596145830883,0.25411301148111803,1.4011118509084486,3,Missouri,Lawrence County
2546,33015,1,1,150,195,260,302,323,6600,26400,11000,17150,-11,1669,-3,2,-2,2.8944596145830883,0.25411301148111803,1.4011118509084486,3,Missouri,Lewis County
2547,33015,1,1,464,454,514,610,659,8850,36800,14700,26950,-11,1669,-3,2,-2,8.154351593157607,0.7010259631399348,0.986365806917423,1,Missouri,Lincoln County
2548,33015,1,1,464,454,514,610,659,8850,36800,14700,26950,-11,1669,-3,2,-2,8.154351593157607,0.7010259631399348,0.986365806917423,1,Missouri,Linn County
2549,33015,1,1,46,155,225,270,466,6550,25700,10900,17150,-11,1669,-3,2,-2,2.4874856502397753,0.22409148106102614,1.5571500522646344,3,Missouri,Livingston County
2550,33015,1,1,150,195,260,302,323,6600,26400,11000,17150,-11,1669,-3,2,-2,2.8944596145830883,0.25411301148111803,1.4011118509084486,3,Missouri,McDonald County
2551,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Macon County
2552,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Madison County
2553,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Maries County
2554,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Marion County
2555,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Mercer County
2556,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Miller County
2557,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Mississippi County
2558,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Moniteau County
2559,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Monroe County
2560,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Montgomery County
2561,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Morgan County
2562,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,New Madrid County
2563,33017,1,1,46,155,225,270,466,6550,25700,10900,17150,-8,1629,-3,29,-6,2.5022403729828673,0.1848359348268093,1.5267825435315996,3,Missouri,Newton County
2564,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Nodaway County
2565,33019,1,0,129,169,213,156,432,5150,17200,8600,13750,4,2307,-8,-15,-8,0.992468363794067,0.10263008880407361,0.5220991273934255,3,Missouri,Oregon County
