,state_county_code,census_region,metro,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,ELI_2,median,I50_2,I80_2,ave_util_allowed,hh_income,months_from_movein,months_waiting,pct_utility_allow,PrincipalComponent1,PrincipalComponent2,PrincipalComponent3,Class
state_county_code,1.0,-0.1006710052825439,-0.04444491050360069,-0.14333226808550964,-0.15279262557811044,-0.21340791881028812,-0.17658950298258508,-0.19473498716528978,0.04470149755505082,-0.0337405520501245,0.020258659864509546,-0.025310186063405092,0.05348598155009575,0.06596288740709232,-0.12488899902657344,-0.001590797614486348,-0.03086326363192289,-0.15383328393939433,-0.18920054880786005,0.32611151453055853,-0.014372435362170654
census_region,-0.1006710052825439,1.0,-0.08012651627946099,0.0008947272375382488,-0.07514557081443188,-0.16475525632937107,-0.14103366959713096,-0.20373534543300043,-0.319940536854225,-0.2232303255005215,-0.32860555031633315,-0.3456171648598058,-0.08101484500270018,-0.02403010557840131,-0.10063397941329594,-0.075506669798308,0.25901036999146604,-0.30782327963191414,0.06614288461734281,-0.42165522471626615,-0.14456305119214247
metro,-0.04444491050360069,-0.08012651627946099,1.0,0.4516472622824608,0.44713162774568455,0.3829407160307828,0.33066119033739316,0.29140272373234677,0.3929889644131678,0.4530388453257941,0.3224625655213525,0.3286539931159842,0.0284393956486756,0.12090941815572592,0.20258345191478097,0.10481726993393008,0.06720939529912572,0.5508720337871506,-0.07482255652666717,0.003934650579155879,0.2426875509446306
fmr_0,-0.14333226808550964,0.0008947272375382488,0.4516472622824608,1.0,0.7684331487964777,0.7215783637707242,0.6485431582589533,0.5414452888421124,0.4573263997033278,0.46325560760485857,0.43572049659460343,0.42754553357682384,-0.02500464280837201,0.038727795032471216,0.19304324964432312,0.10133824807507928,0.04521958078003658,0.7194458487519804,0.14831131027393374,-0.22844030281260994,0.0518658248787086
fmr_1,-0.15279262557811044,-0.07514557081443188,0.44713162774568455,0.7684331487964777,1.0,0.8477194542892846,0.8026413521971687,0.6547904237341549,0.5220321950067371,0.4686366084922776,0.49196724337760545,0.49811568111714627,-0.038632722323005776,0.1465156659846046,0.16415417219680814,0.11442056571223821,-0.007845430525255985,0.7971858170696972,0.16021606081287168,-0.20564658077764011,0.10343182947554272
fmr_2,-0.21340791881028812,-0.16475525632937107,0.3829407160307828,0.7215783637707242,0.8477194542892846,1.0,0.8596317100644006,0.72310512886492,0.4701313266244053,0.442317288388178,0.4810385153630975,0.48993024775559696,-0.05341754925724272,0.12415282944574867,0.2212195443710868,0.08283336945493558,-0.053811737565795756,0.7936312911392258,0.1889726618969343,-0.23733286489938615,0.09332970510560845
fmr_3,-0.17658950298258508,-0.14103366959713096,0.33066119033739316,0.6485431582589533,0.8026413521971687,0.8596317100644006,1.0,0.7456982935870046,0.43494727320840526,0.4234493079400421,0.44079377670692355,0.4478692513372212,-0.051998909733186036,0.13143023986084465,0.19351412260199374,0.08838698228684032,-0.06546714284223797,0.7578988503357527,0.17809539412161582,-0.26284274093735643,0.07358871659824474
fmr_4,-0.19473498716528978,-0.20373534543300043,0.29140272373234677,0.5414452888421124,0.6547904237341549,0.72310512886492,0.7456982935870046,1.0,0.42556832645437676,0.40929713494971376,0.44531074699416723,0.46694597277639766,-0.0252104994966273,0.12420231367311452,0.14699496443552937,0.008424871588859016,-0.08503137844310443,0.7149015746218531,0.1905963765412407,-0.21457554211867932,0.09519382447139535
ELI_2,0.04470149755505082,-0.319940536854225,0.3929889644131678,0.4573263997033278,0.5220321950067371,0.4701313266244053,0.43494727320840526,0.42556832645437676,1.0,0.7466618698071237,0.8657114087357491,0.8543269347006066,0.14820346665894094,0.1396534510676339,0.12059093271790121,0.04513860037607855,-0.1936760010495376,0.797518542243917,0.062353554130035946,0.5180615154511519,0.2737717007563958
median,-0.0337405520501245,-0.2232303255005215,0.4530388453257941,0.46325560760485857,0.4686366084922776,0.442317288388178,0.4234493079400421,0.40929713494971376,0.7466618698071237,1.0,0.7691531655419059,0.7481818621224733,0.026920135087937877,0.06305305783627728,0.12220704093794435,0.041152425345837955,-0.12690034722082766,0.7759785816230438,0.143406663265201,0.4525639502942128,0.22023023706934264
I50_2,0.020258659864509546,-0.32860555031633315,0.3224625655213525,0.43572049659460343,0.49196724337760545,0.4810385153630975,0.44079377670692355,0.44531074699416723,0.8657114087357491,0.7691531655419059,1.0,0.9787597547062875,0.11366739607601618,0.11777158235903198,0.07747425625732411,0.01096104357525972,-0.18895368309659183,0.803434249638907,0.13688516376046203,0.5591864570499261,0.26542071439207354
I80_2,-0.025310186063405092,-0.3456171648598058,0.3286539931159842,0.42754553357682384,0.49811568111714627,0.48993024775559696,0.4478692513372212,0.46694597277639766,0.8543269347006066,0.7481818621224733,0.9787597547062875,1.0,0.11330908834778979,0.12359912778800954,0.09581367113578736,0.02082158997309395,-0.1841596315168734,0.8070541093718089,0.12905509003975094,0.5401461535466971,0.26198933516465456
ave_util_allowed,0.05348598155009575,-0.08101484500270018,0.0284393956486756,-0.02500464280837201,-0.038632722323005776,-0.05341754925724272,-0.051998909733186036,-0.0252104994966273,0.14820346665894094,0.026920135087937877,0.11366739607601618,0.11330908834778979,1.0,0.16119998718704626,0.21788147135419622,0.001966940237889527,-0.016138676625230705,0.04741335086124719,-0.6562517107607694,0.13791147359051115,-0.03921288934204804
hh_income,0.06596288740709232,-0.02403010557840131,0.12090941815572592,0.038727795032471216,0.1465156659846046,0.12415282944574867,0.13143023986084465,0.12420231367311452,0.1396534510676339,0.06305305783627728,0.11777158235903198,0.12359912778800954,0.16119998718704626,1.0,0.10772403145011365,0.0833461461247496,0.08190265521092137,0.14655166729172336,-0.5007228150488047,0.005123502719734995,0.07829397592506215
months_from_movein,-0.12488899902657344,-0.10063397941329594,0.20258345191478097,0.19304324964432312,0.16415417219680814,0.2212195443710868,0.19351412260199374,0.14699496443552937,0.12059093271790121,0.12220704093794435,0.07747425625732411,0.09581367113578736,0.21788147135419622,0.10772403145011365,1.0,0.10980642686055912,0.10083975716276651,0.23061393704666672,-0.3596698149502382,-0.11480542898710921,-0.03449507480746906
months_waiting,-0.001590797614486348,-0.075506669798308,0.10481726993393008,0.10133824807507928,0.11442056571223821,0.08283336945493558,0.08838698228684032,0.008424871588859016,0.04513860037607855,0.041152425345837955,0.01096104357525972,0.02082158997309395,0.001966940237889527,0.0833461461247496,0.10980642686055912,1.0,0.09850121597125115,0.11412353413918724,-0.24114342920477255,-0.0495003326597005,0.07201482741262144
pct_utility_allow,-0.03086326363192289,0.25901036999146604,0.06720939529912572,0.04521958078003658,-0.007845430525255985,-0.053811737565795756,-0.06546714284223797,-0.08503137844310443,-0.1936760010495376,-0.12690034722082766,-0.18895368309659183,-0.1841596315168734,-0.016138676625230705,0.08190265521092137,0.10083975716276651,0.09850121597125115,1.0,-0.11668539612356939,-0.2811722889596172,-0.209696688270964,-0.0071067465636624316
PrincipalComponent1,-0.15383328393939433,-0.30782327963191414,0.5508720337871506,0.7194458487519804,0.7971858170696972,0.7936312911392258,0.7578988503357527,0.7149015746218531,0.797518542243917,0.7759785816230438,0.803434249638907,0.8070541093718089,0.04741335086124719,0.14655166729172336,0.23061393704666672,0.11412353413918724,-0.11668539612356939,1.0,0.12833642731937392,0.16186362831973927,0.322354295979496
PrincipalComponent2,-0.18920054880786005,0.06614288461734281,-0.07482255652666717,0.14831131027393374,0.16021606081287168,0.1889726618969343,0.17809539412161582,0.1905963765412407,0.062353554130035946,0.143406663265201,0.13688516376046203,0.12905509003975094,-0.6562517107607694,-0.5007228150488047,-0.3596698149502382,-0.24114342920477255,-0.2811722889596172,0.12833642731937392,1.0,-0.045964572586637636,0.021471867005068042
PrincipalComponent3,0.32611151453055853,-0.42165522471626615,0.003934650579155879,-0.22844030281260994,-0.20564658077764011,-0.23733286489938615,-0.26284274093735643,-0.21457554211867932,0.5180615154511519,0.4525639502942128,0.5591864570499261,0.5401461535466971,0.13791147359051115,0.005123502719734995,-0.11480542898710921,-0.0495003326597005,-0.209696688270964,0.16186362831973927,-0.045964572586637636,1.0,0.3065594452694854
Class,-0.014372435362170654,-0.14456305119214247,0.2426875509446306,0.0518658248787086,0.10343182947554272,0.09332970510560845,0.07358871659824474,0.09519382447139535,0.2737717007563958,0.22023023706934264,0.26542071439207354,0.26198933516465456,-0.03921288934204804,0.07829397592506215,-0.03449507480746906,0.07201482741262144,-0.0071067465636624316,0.322354295979496,0.021471867005068042,0.3065594452694854,1.0
